REEF_ID,YEAR,DHW_MAX,SSTA_MAX
14085S,1994,2.58,2.16
14137S,1994,3.36,2.23
14138S,1994,3.43,2.22
14139S,1994,3.43,2.22
14152S,1994,3.5300000000000002,2.15
14154S,1994,3.24,2.13
15023S,1994,3.23,2.1
15025S,1994,3.23,2.1
15032S,1994,3.66,2.19
15034S,1994,3.62,2.16
15037S,1994,3.62,2.16
15050S,1994,3.33,2.14
15080S,1994,3.54,2.24
15085S,1994,3.54,2.24
19103S,1994,1.46,2.07
18118S,1994,1.47,2.11
19019S,1994,1.31,1.97
19028S,1994,1.12,2.07
19044S,1994,1.27,2.1
19045S,1994,1.12,1.9000000000000001
19046S,1994,1.28,2.08
19047S,1994,1.18,2.1
19063A,1994,1.19,2.09
19063B,1994,1.16,2.08
19076S,1994,0.45,1.81
19082S,1994,0.8300000000000001,1.92
19098S,1994,0.4,1.81
18112S,1994,1.58,2.16
18120S,1994,1.41,2.2600000000000002
19061S,1994,0.99,2.05
17012A,1994,3.43,2.18
17043A,1994,2.38,1.8
17043C,1994,2.38,1.8
16067S,1994,3.0100000000000002,2.18
16071S,1994,2.66,2.07
17004S,1994,2.5500000000000003,2.1
17010S,1994,3.59,2.07
17011S,1994,3.35,2.0100000000000002
17016S,1994,2.69,1.98
17024S,1994,2.5500000000000003,1.98
17034S,1994,2.33,1.94
17044S,1994,2.17,1.75
17051S,1994,0.63,1.8800000000000001
17063A,1994,0.64,1.9000000000000001
17064S,1994,0.64,2.04
17008S,1994,2.46,1.86
17014S,1994,2.3000000000000003,1.8900000000000001
17032S,1994,1.35,1.95
17057S,1994,1.1300000000000001,1.92
17059A,1994,0.66,1.85
17068S,1994,0.73,2.13
13006S,1994,3.93,1.8
13081S,1994,4.3500000000000005,2.24
13107S,1994,6.13,2.23
14017S,1994,3.22,1.9000000000000001
13041S,1994,2.85,1.7
13060S,1994,2.89,1.74
13063S,1994,2.54,1.67
13072S,1994,3.25,1.9100000000000001
13076S,1994,3.3000000000000003,1.93
13087S,1994,4.29,2.17
13093A,1994,3.02,1.85
13108S,1994,3.62,1.95
13124S,1994,3.0100000000000002,1.83
14003S,1994,3.5700000000000003,1.97
14016S,1994,3.2800000000000002,1.87
13040S,1994,2.5100000000000002,1.56
13056S,1994,2.75,1.61
13118A,1994,2.7,1.84
13121S,1994,2.71,1.99
13127S,1994,2.31,1.9100000000000001
13130S,1994,2.6,1.82
13133S,1994,2.61,1.78
14045S,1994,3.09,1.97
21031S,1994,0.84,1.6500000000000001
21039S,1994,0.65,1.68
21308S,1994,0.65,1.22
21334S,1994,0.56,1.42
21340S,1994,0.71,1.34
21386S,1994,0.0,1.18
19219S,1994,0.3,1.43
20112S,1994,0.16,1.43
20144S,1994,0.15,1.53
20145S,1994,0.16,1.6500000000000001
20287S,1994,0.0,1.8800000000000001
20297S,1994,0.33,1.72
20299D,1994,0.16,1.56
20309S,1994,0.0,1.35
20348S,1994,0.0,1.3900000000000001
20351A,1994,0.17,1.68
20351B,1994,0.16,1.67
20353S,1994,0.0,1.49
20354S,1994,0.0,1.49
21025S,1994,0.47000000000000003,1.4000000000000001
21060S,1994,0.16,1.6400000000000001
21062S,1994,0.15,1.58
21064S,1994,0.15,1.6400000000000001
21074S,1994,0.16,1.69
21104S,1994,0.0,1.47
21137S,1994,0.15,1.57
21139S,1994,0.15,1.58
21140S,1994,0.17,1.69
21187S,1994,0.0,1.26
21591S,1994,0.16,1.67
20113S,1994,0.17,1.61
21179S,1994,0.0,1.03
21186S,1994,0.0,1.04
21217S,1994,0.16,1.51
21219S,1994,0.34,1.77
21235S,1994,0.0,1.22
21241S,1994,0.0,1.48
21245S,1994,0.15,1.41
21278S,1994,0.17,1.5
21286S,1994,0.16,1.4000000000000001
21450S,1994,0.0,1.36
21467S,1994,0.15,1.45
21497S,1994,0.32,1.55
21501S,1994,0.33,1.55
21511S,1994,0.35000000000000003,1.58
21529S,1994,0.16,1.4000000000000001
21550S,1994,0.18,1.53
21556S,1994,0.32,1.53
21557S1,1994,0.32,1.53
21572S,1994,0.36,1.56
21577S,1994,0.34,1.52
21584S,1994,0.32,1.44
21588S,1994,0.32,1.44
22084S,1994,0.32,1.53
22088S,1994,0.16,1.44
22102S,1994,0.32,1.45
22104S,1994,0.32,1.48
22112S,1994,0.31,1.47
22118S,1994,0.31,1.46
22144S,1994,0.17,1.45
21296S,1994,0.33,1.44
21302S,1994,0.35000000000000003,1.5
21305S,1994,0.35000000000000003,1.52
21558S,1994,0.33,1.5
21562S,1994,0.37,1.57
21583S,1994,0.32,1.44
18053S,1994,4.33,2.31
18065S,1994,4.23,2.5
18025S,1994,2.54,2.23
18026S,1994,2.14,1.83
18029S,1994,1.95,1.73
18030S,1994,2.66,2.14
18031S,1994,2.4,2.16
18032S,1994,2.23,1.93
18042S,1994,2.66,2.24
18043S,1994,2.4,2.16
18073S,1994,1.42,2.09
18074S,1994,1.37,1.94
18075S,1994,1.09,2.1
18076S,1994,1.24,2.05
18077S,1994,1.22,1.98
18078S,1994,1.02,2.05
18079S,1994,1.06,2.05
18088S,1994,1.06,1.96
18091S,1994,1.71,2.0
18095S,1994,1.0,1.87
18096S,1994,1.48,1.8900000000000001
18099S,1994,1.8,2.0300000000000002
18106S,1994,1.98,1.8800000000000001
18023S,1994,1.72,2.38
18034S,1994,2.17,2.22
18037S,1994,2.29,2.31
18039S,1994,1.9100000000000001,2.05
18041S,1994,2.34,2.12
18046S,1994,1.75,2.06
18081S,1994,1.41,1.99
18083S,1994,1.11,1.97
18086S,1994,2.15,2.07
20014S,1994,1.3900000000000001,2.09
20019S,1994,1.3900000000000001,2.09
20067A,1994,1.25,1.95
19120S,1994,0.38,1.8800000000000001
19131S,1994,0.68,1.94
19135S,1994,0.71,2.16
19137S,1994,0.76,2.18
19138S,1994,0.8300000000000001,1.84
19147S,1994,0.87,1.96
19177S,1994,1.02,1.8
19195S,1994,0.6900000000000001,1.72
20104S,1994,0.47000000000000003,1.52
19159S,1994,1.31,1.79
19207S,1994,0.33,1.51
19209S,1994,0.18,1.54
16028S,1995,0.9400000000000001,1.76
16049S,1995,2.12,2.15
16054S,1995,2.2600000000000002,2.14
15093S,1995,1.23,1.9100000000000001
15095S,1995,1.27,1.96
15098S,1995,1.28,1.98
16013A,1995,1.3,1.99
16013B,1995,1.3,2.02
16013C,1995,1.3,2.02
16015S,1995,1.44,1.99
16017S,1995,1.29,1.99
16020A,1995,1.26,1.96
16023S,1995,1.22,1.9100000000000001
16024S,1995,1.61,2.05
16026S2,1995,1.79,2.08
16032S,1995,2.31,2.12
16040S,1995,1.97,2.11
16043A,1995,2.12,2.12
16044B,1995,2.27,2.12
16046S,1995,2.12,2.13
16057S,1995,2.29,2.11
16060S,1995,2.2800000000000002,2.12
16064S,1995,2.09,2.16
16068S,1995,1.95,2.18
15088S,1995,1.25,1.96
15090S,1995,1.27,1.99
15092S,1995,1.28,2.0
15094S1,1995,1.28,1.98
15096S,1995,1.29,2.0
15099A,1995,1.3,2.0100000000000002
15099C,1995,1.3,2.02
16019S,1995,1.31,2.0300000000000002
16025S2,1995,1.78,2.06
16030S,1995,2.32,2.1
16058S,1995,2.27,2.1
16063S,1995,1.4000000000000001,2.1
16065S,1995,1.26,2.1
23045A,1995,0.0,1.04
23048S,1995,0.0,1.02
23051S,1995,0.0,1.02
23055S,1995,0.0,1.02
23068S,1995,0.0,1.18
23069S,1995,0.0,1.19
23077S,1995,0.0,1.01
23079S,1995,0.0,1.03
23080S,1995,0.0,1.07
23081S,1995,0.0,1.08
23082S,1995,0.0,1.12
11167S,1995,0.0,1.27
12010S,1995,0.0,1.8800000000000001
12102S,1995,0.0,1.3
11016S,1995,0.0,1.24
11029S,1995,0.0,1.34
11049S,1995,0.0,1.46
11162S,1995,0.0,1.44
11184C1,1995,0.0,1.44
11184C2,1995,0.0,1.44
11211S,1995,0.0,1.24
11222S2,1995,0.0,1.29
11222S3,1995,0.0,1.29
11237A,1995,0.0,1.28
11237B,1995,0.0,1.18
11237C,1995,0.0,1.19
12016B,1995,0.0,1.7
12027B,1995,0.0,1.48
11243S,1995,0.0,1.18
12056S,1995,0.0,1.11
12061S,1995,0.0,1.25
12071S,1995,0.0,1.18
12098S,1995,0.0,1.19
12107S,1995,0.0,1.11
14094S,1995,1.81,1.84
14097S,1995,1.81,1.84
14120B,1995,1.97,1.87
14123S,1995,1.03,1.85
14126S,1995,1.34,1.86
15002S,1995,1.0,1.83
15005S,1995,1.44,1.82
15012S,1995,0.88,1.61
15013S,1995,0.89,1.62
14054S,1995,0.88,1.68
14056S,1995,0.72,1.71
14061S,1995,1.2,1.76
14064S,1995,1.3,1.68
14109S,1995,0.89,1.84
14114S,1995,0.96,1.9100000000000001
14115S,1995,1.3,1.87
14116S,1995,0.96,1.86
14118S,1995,1.01,1.86
14133S,1995,0.9400000000000001,1.78
14134S,1995,0.96,1.78
14135S,1995,0.96,1.77
14143S,1995,0.9500000000000001,1.84
14147A,1995,0.93,1.76
