mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11.696170949935913,0.11181414740275959,0.20707221031188966,0.010358416939315631,0.9,800,5,6,0.05,0.0,0.7,"{'subsample': 0.9, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7}",0.6928371990546375,0.6754920549168141,0.6836593544164192,0.687100989428529,0.6733419578338453,0.682486311130049,0.007243631469915058,11
7.972915363311768,0.07028297634792108,0.12561159133911132,0.008146496058095936,0.7,800,3,4,0.05,0.0,0.8,"{'subsample': 0.7, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.8}",0.6744419976296934,0.6521869676376053,0.6432727867360081,0.6596542148824591,0.64264724833956,0.6544406430450651,0.011799319832816365,36
2.223920202255249,0.044509298996091934,0.04159321784973145,0.005864611482679657,0.7,300,3,3,0.03,0.0,0.7,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.7}",0.5735535939256754,0.5834811036177533,0.5538763187984683,0.5585193279265531,0.5668215463149904,0.5672503781166881,0.010568326041617565,90
5.622605085372925,0.10387163997859776,0.09072670936584473,0.012859008591981731,0.9,800,3,3,0.01,0.0,0.6,"{'subsample': 0.9, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.6}",0.5656257742028954,0.5800380214929381,0.5564899278131337,0.5533246357672756,0.5515885154722064,0.5614133749496898,0.010495881700450127,96
13.63171854019165,0.33147164657007055,0.3269324779510498,0.048930620331022176,0.9,800,5,7,0.1,0.0,0.6,"{'subsample': 0.9, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",0.6974211644582939,0.6784584911353208,0.6931376940960225,0.6909784505934474,0.6763902268831827,0.6872772054332534,0.00833355232325648,4
3.7746384143829346,0.18406999247432834,0.07087187767028809,0.014435583703814288,0.9,500,3,3,0.1,0.1,0.7,"{'subsample': 0.9, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.6523589064908331,0.6366343624599596,0.6191631381423773,0.6425877729902572,0.6310160871104248,0.6363520534387704,0.011127574641963813,53
5.295844030380249,0.15691093918527918,0.08194684982299805,0.0037380618704594077,0.8,300,10,6,0.03,0.0,0.8,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.8}",0.6562584482043682,0.6451219228558152,0.6261089865804854,0.6454258305844358,0.6335642362006855,0.6412958848851581,0.010449819047331303,49
7.372137546539307,0.22622723509669618,0.09795989990234374,0.005716603346344284,0.7,300,5,7,0.03,0.1,0.8,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.672055060223333,0.6548217717936415,0.6503714161147942,0.6624266933101725,0.6533954805447766,0.6586140843973436,0.00780708472283198,31
7.885712099075318,0.23593052592788516,0.1613466739654541,0.03484038308282913,0.7,800,5,4,0.1,0.1,0.7,"{'subsample': 0.7, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.6739092099950393,0.6688579776304782,0.6667166547155039,0.6625975239759583,0.654764581203926,0.6653691895041811,0.006435201660746509,24
5.13627552986145,0.2655968352540824,0.09913859367370606,0.013577434455601063,0.7,500,5,4,0.1,0.3,0.7,"{'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.6679877057142193,0.6584938472531628,0.6557029294695069,0.6610257778401882,0.6433778817891993,0.6573176284132553,0.008073514738478975,32
2.7154319286346436,0.36943403373981276,0.05458059310913086,0.014667266114296645,0.8,300,3,3,0.05,0.3,0.6,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.6}",0.5931788358755699,0.5961438953110298,0.5667780400036847,0.5842905633321221,0.5828569110232209,0.5846496491091255,0.010272312175011579,84
8.06897792816162,0.16027390318766632,0.1255246639251709,0.03092727446501974,0.8,500,3,5,0.03,0.3,0.7,"{'subsample': 0.8, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.6531980640851862,0.6461096384244789,0.6291941382834249,0.648861261920607,0.6370370390939912,0.6428800283615377,0.008649988532386915,48
8.233036327362061,0.4749255992305509,0.12092370986938476,0.01702766108449289,0.8,800,5,4,0.05,0.1,0.7,"{'subsample': 0.8, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.6677716150343731,0.6555829182489401,0.6446406517719986,0.6555648745569289,0.6479734687545248,0.6543067056733531,0.007975687800711232,37
1.9863828659057616,0.05895209015882088,0.04211692810058594,0.006730722440524289,0.7,300,10,3,0.1,0.3,0.6,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 0.6}",0.628637848734428,0.607364160487856,0.5886981751443389,0.6107962804925195,0.596816003168469,0.6064624936055223,0.013564415764670396,76
